date,client_id,clicks,finish_watch,start_watch,views,watch_time,adds_to_fav
2025-04-01,1203,1,0,0,0,0.0,0
2025-04-01,1223,0,0,0,1,0.0,0
2025-04-01,1323,0,0,0,1,0.0,0
2025-04-01,1636,0,1,0,0,19.0,0
2025-04-02,1069,1,0,0,0,0.0,0
2025-04-02,1373,0,0,1,0,0.0,0
2025-04-02,1520,0,0,0,1,0.0,0
2025-04-02,1553,0,0,1,0,0.0,0
2025-04-03,1441,0,0,0,1,0.0,0
2025-04-03,1771,0,0,1,0,0.0,0
2025-04-03,1867,0,0,0,1,0.0,0
2025-04-04,1371,0,0,1,0,0.0,0
2025-04-04,1486,0,1,0,0,68.0,0
2025-04-04,1899,0,0,0,1,0.0,0
2025-04-05,1388,0,0,0,1,0.0,0
2025-04-05,1452,1,0,0,0,0.0,0
2025-04-05,1696,0,0,0,1,0.0,0
2025-04-06,1459,0,0,0,1,0.0,0
2025-04-07,1141,1,0,0,0,0.0,0
2025-04-07,1225,0,0,0,1,0.0,0
2025-04-07,1296,0,1,0,0,60.0,0
2025-04-07,1346,0,0,0,1,0.0,0
2025-04-07,1754,0,0,0,1,0.0,0
2025-04-07,1965,1,0,0,0,0.0,0
2025-04-08,1134,1,0,0,0,0.0,0
2025-04-08,1512,0,0,1,0,0.0,0
2025-04-08,1574,1,0,0,0,0.0,0
2025-04-08,1685,1,0,0,0,0.0,0
2025-04-08,1802,0,0,1,0,0.0,0
2025-04-08,1929,0,0,1,0,0.0,0
2025-04-09,1215,1,0,0,0,0.0,0
2025-04-09,1255,0,0,1,0,0.0,0
2025-04-09,1448,0,0,1,0,0.0,0
2025-04-09,1826,1,0,0,0,0.0,0
2025-04-09,1991,0,0,0,1,0.0,0
2025-04-10,1133,1,0,0,0,0.0,0
2025-04-10,1671,0,0,0,1,0.0,0
2025-04-10,1882,0,0,0,1,0.0,0
2025-04-11,1070,0,0,1,0,0.0,0
2025-04-11,1565,0,0,0,1,0.0,0
2025-04-12,1492,0,0,0,1,0.0,0
2025-04-12,1610,0,1,0,0,65.0,0
2025-04-12,1964,0,0,1,0,0.0,0
2025-04-13,1529,0,0,0,1,0.0,0
2025-04-13,1882,0,0,1,0,0.0,0
2025-04-13,1980,1,0,0,0,0.0,0
2025-04-14,1746,0,0,0,1,0.0,0
2025-04-14,1951,0,0,1,0,0.0,0
2025-04-14,1976,1,0,0,0,0.0,0
2025-04-16,1225,0,0,0,1,0.0,0
2025-04-16,1518,0,0,0,1,0.0,0
2025-04-16,1621,0,0,0,1,0.0,0
2025-04-16,1765,0,0,0,1,0.0,0
2025-04-17,1040,1,0,0,0,0.0,0
2025-04-17,1080,0,0,0,1,0.0,0
2025-04-17,1114,0,0,0,1,0.0,0
2025-04-17,1514,0,1,0,0,41.0,0
2025-04-17,1721,0,0,0,1,0.0,0
2025-04-17,1735,0,0,0,1,0.0,0
2025-04-17,1919,1,0,0,0,0.0,0
2025-04-18,1175,1,0,0,0,0.0,0
2025-04-19,1025,1,0,0,0,0.0,0
2025-04-19,1114,0,0,0,1,0.0,0
2025-04-19,1234,0,0,0,1,0.0,0
2025-04-19,1570,0,0,0,1,0.0,0
2025-04-19,1623,0,0,0,1,0.0,0
2025-04-19,1849,0,0,0,1,0.0,0
2025-04-20,1219,1,0,0,0,0.0,0
2025-04-20,1549,0,0,1,0,0.0,0
2025-04-20,1567,0,0,0,1,0.0,0
2025-04-20,1578,1,0,0,0,0.0,0
2025-04-20,1718,0,1,0,0,19.0,0
2025-04-20,1873,0,0,0,1,0.0,0
2025-04-21,1152,1,0,0,0,0.0,0
2025-04-21,1348,0,0,0,1,0.0,0
2025-04-21,1408,0,1,0,0,96.0,0
2025-04-22,1881,0,0,0,1,0.0,0
2025-04-23,1552,0,1,0,0,136.0,0
2025-04-23,1826,0,0,0,1,0.0,0
2025-04-24,1006,0,0,1,0,0.0,0
2025-04-24,1245,0,0,0,1,0.0,0
2025-04-24,1747,0,0,0,1,0.0,0
2025-04-24,1778,1,0,0,0,0.0,0
2025-04-25,1072,1,0,0,0,0.0,0
2025-04-25,1166,0,0,0,1,0.0,0
2025-04-25,1633,0,0,1,0,0.0,0
2025-04-25,1794,0,0,0,1,0.0,0
2025-04-26,1089,1,0,0,0,0.0,0
2025-04-26,1389,0,0,0,1,0.0,0
2025-04-26,1760,1,0,0,0,0.0,0
2025-04-27,1168,0,0,0,1,0.0,0
2025-04-27,1469,0,0,0,1,0.0,0
2025-04-27,1613,0,0,0,1,0.0,0
2025-04-27,1773,1,0,0,0,0.0,0
2025-04-27,1891,1,0,0,0,0.0,0
2025-04-28,1344,0,0,0,1,0.0,0
2025-04-28,1584,1,0,0,0,0.0,0
2025-04-29,1100,0,0,0,1,0.0,0
2025-04-29,1387,0,0,0,1,0.0,0
2025-04-29,1881,0,1,0,0,30.0,0
